time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,379,379,987.7810026385224,374369.0,2.994952,2.994952
4000.0,601,980,1021.3144758735441,988179.0,3.952716,4.91048
5000.0,396,1376,1003.989898989899,1385759.0,3.6953573333333334,3.18064
6000.0,486,1862,968.6522633744856,1856524.0,3.713048,3.76612
7000.0,467,2329,1008.1070663811563,2327310.0,3.723696,3.766288
8000.0,347,2676,981.9106628242075,2668033.0,3.5573773333333336,2.725784
9000.0,570,3246,1043.0912280701755,3262595.0,3.72868,4.756496
10000.0,87,3333,963.0574712643678,3346381.0,3.346381,0.670288
11000.0,1334,4667,1010.3500749625188,4694188.0,4.172611555555555,10.782456
12000.0,969,5636,1009.1331269349845,5672038.0,4.5376304,7.8228
13000.0,428,6064,980.2359813084112,6091579.0,4.430239272727272,3.356328
14000.0,727,6791,936.3425034387895,6772300.0,4.514866666666667,5.445768
15000.0,450,7241,1003.6333333333333,7223935.0,4.445498461538462,3.61308
16000.0,113,7354,968.2654867256637,7333349.0,4.190485142857143,0.875312
17000.0,739,8093,990.1231393775372,8065050.0,4.30136,5.853608
18000.0,555,8648,1012.7945945945946,8627151.0,4.3135755,4.496808
19000.0,509,9157,1026.4125736738704,9149595.0,4.305691764705882,4.179552
20000.0,1307,10464,1005.3749043611324,1.046362E7,4.650497777777778,10.5122
21000.0,93,10557,1038.47311827957,1.0560198E7,4.446399157894737,0.772624
22000.0,125,10682,1065.472,1.0693382E7,4.2773528,1.065472
23000.0,320,11002,1003.721875,1.1014573E7,4.196027809523809,2.569528
24000.0,980,11982,992.5704081632653,1.1987292E7,4.359015272727272,7.781752
25000.0,326,12308,1024.2208588957055,1.2321188E7,4.285630608695652,2.671168
26000.0,45,12353,921.1333333333333,1.2362639E7,4.120879666666666,0.331608
27000.0,699,13052,954.1945636623748,1.3029621E7,4.16947872,5.335856
28000.0,811,13863,996.0641183723798,1.3837429E7,4.257670461538461,6.462464
29000.0,27,13890,987.0370370370371,1.3864079E7,4.107875259259259,0.2132
30000.0,731,14621,1001.4965800273598,1.4596173E7,4.170335142857144,5.856752
31000.0,430,15051,1005.7697674418605,1.5028654E7,4.145835586206896,3.459848
32000.0,142,15193,998.6338028169014,1.517046E7,4.045456,1.134448
33000.0,1600,16793,985.4775,1.6747224E7,4.321864258064517,12.614112
34000.0,311,17104,1002.2411575562701,1.7058921E7,4.26473025,2.493576
35000.0,293,17397,990.5085324232082,1.734914E7,4.205852121212121,2.321752
36000.0,538,17935,992.5613382899628,1.7883138E7,4.207797176470588,4.271984
37000.0,90,18025,1014.0444444444445,1.7974402E7,4.108434742857143,0.730112
38000.0,1362,19387,1008.4368575624082,1.9347893E7,4.299531777777778,10.987928
39000.0,353,19740,956.9688385269122,1.9685703E7,4.256368216216216,2.70248
40000.0,565,20305,994.1327433628319,2.0247388E7,4.262608,4.49348
41000.0,643,20948,999.9751166407465,2.0890372E7,4.285204512820513,5.143872
42000.0,460,21408,971.0369565217392,2.1337049E7,4.267409800000001,3.573416
43000.0,237,21645,1071.5105485232068,2.1590997E7,4.2128774634146335,2.031584
44000.0,449,22094,1006.4832962138084,2.2042908E7,4.198649142857143,3.615288
45000.0,468,22562,1045.7628205128206,2.2532325E7,4.192060465116279,3.915336
46000.0,169,22731,968.4970414201183,2.2696001E7,4.126545636363637,1.309408
47000.0,311,23042,974.3408360128617,2.2999021E7,4.0887148444444446,2.42416
48000.0,566,23608,1018.3798586572439,2.3575424E7,4.100073739130434,4.611224
49000.0,315,23923,985.8253968253969,2.3885959E7,4.065695148936171,2.48428
50000.0,53,23976,1005.9056603773585,2.3939272E7,3.9898786666666664,0.426504
51000.0,1546,25522,995.1584734799483,2.5477787E7,4.159638693877551,12.30812
52000.0,635,26157,1032.820472440945,2.6133628E7,4.18138048,5.246728
53000.0,349,26506,1000.3982808022922,2.6482767E7,4.154159529411765,2.793112
54000.0,1126,27632,978.4964476021314,2.7584554E7,4.243777538461539,8.814296
55000.0,231,27863,1033.112554112554,2.7823203E7,4.199728754716981,1.909192
56000.0,576,28439,1003.3697916666666,2.8401144E7,4.207576888888889,4.623528
57000.0,731,29170,996.701778385773,2.9129733E7,4.2370520727272725,5.828712
58000.0,1321,30491,1008.3928841786525,3.046182E7,4.351688571428572,10.656696
59000.0,113,30604,977.7345132743363,3.0572304E7,4.290849684210526,0.883872
60000.0,314,30918,992.5987261146497,3.088398E7,4.259859310344828,2.493408
