time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,3072,3072,1005.2161458333334,3088024.0,24.704192,24.704192
4000.0,2970,6042,1016.8925925925926,6108195.0,24.43278,24.161368
5000.0,3094,9136,985.9366515837104,9158683.0,24.423154666666665,24.403904
6000.0,2814,11950,1000.7942430703624,1.1974918E7,23.949836,22.52988
7000.0,2804,14754,998.1633380884451,1.4773768E7,23.6380288,22.3908
8000.0,3178,17932,1003.745122718691,1.796367E7,23.95156,25.519216
9000.0,3034,20966,999.5711931443639,2.0996369E7,23.995850285714283,24.261592
10000.0,3285,24251,1010.6660578386605,2.4316407E7,24.316407,26.560304
11000.0,3382,27633,984.5685984624482,2.7646218E7,24.574416,26.638488
12000.0,3206,30839,1009.2354959451029,3.0881827E7,24.705461599999996,25.884872
13000.0,3164,34003,984.49399494311,3.3996766E7,24.724920727272732,24.919512
14000.0,3121,37124,994.3293816084588,3.7100068E7,24.733378666666667,24.826416
15000.0,3164,40288,997.0967130214918,4.0254882E7,24.772235076923074,25.238512
16000.0,3245,43533,1011.4570107858243,4.353706E7,24.87832,26.257424
17000.0,3306,46839,993.9234724742892,4.6822971E7,24.9722512,26.287288
18000.0,3064,49903,999.0600522193212,4.9884091E7,24.9420455,24.48896
19000.0,2982,52885,991.7665995975855,5.2841539E7,24.866606588235296,23.659584
20000.0,3228,56113,1007.9386617100372,5.6095165E7,24.931184444444444,26.029008
21000.0,3328,59441,1006.1607572115385,5.9443668E7,25.02891284210526,26.788024
22000.0,3258,62699,1002.1258440761203,6.2708594E7,25.0834376,26.119408
23000.0,3180,65879,1020.6138364779874,6.5954146E7,25.125388952380952,25.964416
24000.0,3194,69073,1000.0707576706325,6.9148372E7,25.144862545454547,25.553808
25000.0,3311,72384,1005.7716701902748,7.2478482E7,25.209906782608694,26.64088
26000.0,3367,75751,991.4971784971785,7.5816853E7,25.27228433333333,26.706968
27000.0,3235,78986,992.015455950541,7.9026023E7,25.28832736,25.67336
28000.0,3225,82211,999.226976744186,8.224853E7,25.30724,25.780056
29000.0,3373,85584,1002.047731989327,8.5628437E7,25.37138874074074,27.039256
30000.0,3206,88790,1000.3434185901435,8.8835538E7,25.381582285714284,25.656808
31000.0,3145,91935,1002.3192368839427,9.1987832E7,25.37595365517241,25.218352
32000.0,3211,95146,993.3653067580193,9.5177528E7,25.380674133333333,25.517568
33000.0,3360,98506,990.7488095238095,9.8506444E7,25.421017806451612,26.631328
34000.0,3102,101608,1010.7288845905867,1.01641725E8,25.41043125,25.082248
35000.0,3088,104696,1000.7532383419689,1.04732051E8,25.38958812121212,24.722608
36000.0,3272,107968,994.041564792176,1.07984555E8,25.40813058823529,26.020032
37000.0,3311,111279,995.2132286318333,1.11279706E8,25.43536137142857,26.361208
38000.0,3325,114604,1007.0824060150376,1.14628255E8,25.472945555555555,26.788392
39000.0,3170,117774,999.0362776025237,1.177952E8,25.46923243243243,25.33556
40000.0,3060,120834,995.2565359477125,1.20840685E8,25.440144210526316,24.36388
41000.0,3068,123902,995.6544980443285,1.23895353E8,25.414431384615384,24.437344
42000.0,3243,127145,996.0280604378662,1.27125472E8,25.425094400000003,25.840952
43000.0,3070,130215,1015.2218241042345,1.30242203E8,25.413112780487804,24.933848
44000.0,2867,133082,985.0383676316708,1.33066308E8,25.34596342857143,22.59284
45000.0,2789,135871,993.2986733596271,1.35836618E8,25.27192893023256,22.16248
46000.0,3230,139101,991.1764705882352,1.39038118E8,25.27965781818182,25.612
47000.0,3128,142229,1004.7679028132992,1.42181032E8,25.27662791111111,25.143312
48000.0,3057,145286,996.5812888452731,1.45227581E8,25.256970608695653,24.372392
49000.0,3229,148515,1013.6069990709198,1.48500518E8,25.276683914893617,26.183496
50000.0,3312,151827,1010.6802536231884,1.51847891E8,25.307981833333336,26.778984
51000.0,3204,155031,997.5118601747815,1.55043919E8,25.313292897959183,25.568224
52000.0,3092,158123,1011.5304010349289,1.58171571E8,25.307451359999998,25.021216
53000.0,3161,161284,1006.5324264473268,1.6135322E8,25.310309019607846,25.453192
54000.0,3341,164625,990.5624064651302,1.64662689E8,25.332721384615386,26.475752
55000.0,3274,167899,996.0849114233354,1.67923871E8,25.346999396226416,26.089456
56000.0,3010,170909,1002.4029900332226,1.70941104E8,25.324608,24.137864
57000.0,3097,174006,995.9205682918954,1.7402547E8,25.312795636363635,24.674928
58000.0,3352,177358,993.2971360381862,1.77355002E8,25.33642885714286,26.636256
59000.0,3274,180632,992.2550397067807,1.80603645E8,25.34788,25.989144
60000.0,3017,183649,977.0401060656282,1.83551375E8,25.31743103448276,23.58184
