time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,3073,3073,1007.0859095346567,3094775.0,24.7582,24.7582
4000.0,2967,6040,1015.8112571621166,6108687.0,24.434748,24.111296
5000.0,3098,9138,985.8850871530019,9162959.0,24.434557333333334,24.434176
6000.0,2816,11954,1000.3504971590909,1.1979946E7,23.959892,22.535896
7000.0,2801,14755,1000.8429132452695,1.4783307E7,23.653291199999998,22.426888
8000.0,3175,17930,1001.3807874015748,1.7962691E7,23.95025466666667,25.435072
9000.0,3037,20967,1000.1560750740863,2.1000165E7,24.00018857142857,24.299792
10000.0,3283,24250,1011.4922327139811,2.4320894E7,24.320894,26.565832
11000.0,3383,27633,984.1203074194502,2.7650173E7,24.577931555555555,26.634232
12000.0,3205,30838,1008.9319812792512,3.08838E7,24.70704,25.869016
13000.0,3166,34004,983.9311433986103,3.3998926E7,24.726491636363637,24.921008
14000.0,3119,37123,994.8319974350753,3.7101807E7,24.734538,24.823048
15000.0,3168,40291,997.5160984848485,4.0261938E7,24.77657723076923,25.281048
16000.0,3242,43533,1010.5764959901295,4.3538227E7,24.878986857142856,26.210312
17000.0,3305,46838,994.5419062027231,4.6825188E7,24.9734336,26.295688
18000.0,3064,49902,998.642950391645,4.988503E7,24.942515,24.478736
19000.0,2982,52884,991.0405767940979,5.2840313E7,24.866029647058824,23.642264
20000.0,3228,56112,1009.8788723667906,5.6100202E7,24.93342311111111,26.079112
21000.0,3330,59442,1004.8744744744745,5.9446434E7,25.03007747368421,26.769856
22000.0,3257,62699,1002.3315934909426,6.2711028E7,25.084411199999998,26.116752
23000.0,3179,65878,1020.3976093111041,6.5954872E7,25.125665523809523,25.950752
24000.0,3194,69072,1000.1474639949906,6.9149343E7,25.145215636363638,25.555768
25000.0,3313,72385,1006.5143374584968,7.2483925E7,25.2118,26.676656
26000.0,3366,75751,990.0965537730243,7.581659E7,25.27219666666667,26.66132
27000.0,3235,78986,992.9489953632149,7.902878E7,25.2892096,25.69752
28000.0,3226,82212,999.1611903285802,8.2252074E7,25.308330461538464,25.786352
29000.0,3372,85584,1001.4599644128114,8.5628997E7,25.37155466666667,27.015384
30000.0,3207,88791,1000.4808231992516,8.8837539E7,25.382154,25.668336
31000.0,3146,91937,1002.3165924984107,9.1990827E7,25.376779862068965,25.226304
32000.0,3208,95145,993.8366583541147,9.5179055E7,25.38108133333333,25.505824
33000.0,3361,98506,990.599523951205,9.850846E7,25.421538064516128,26.63524
34000.0,3101,101607,1010.3263463398904,1.01641482E8,25.4103705,25.064176
35000.0,3089,104696,1001.051149239236,1.04733729E8,25.38999490909091,24.737976
36000.0,3272,107968,994.9034229828851,1.07989053E8,25.40918894117647,26.042592
37000.0,3312,111280,994.3345410628019,1.11282289E8,25.435951771428574,26.345888
38000.0,3324,114604,1007.8243080625753,1.14632297E8,25.473843777777777,26.800064
39000.0,3168,117772,998.2099116161617,1.17794626E8,25.469108324324324,25.298632
40000.0,3062,120834,996.2397126061397,1.20845112E8,25.44107621052632,24.403888
41000.0,3068,123902,995.9735984354628,1.23900759E8,25.415540307692307,24.445176
42000.0,3243,127145,995.0613629355535,1.27127743E8,25.4255486,25.815872
43000.0,3069,130214,1015.405017921147,1.30244021E8,25.413467512195123,24.930224
44000.0,2872,133086,984.4063370473538,1.33071236E8,25.346902095238097,22.61772
45000.0,2788,135874,993.8547345767576,1.35842103E8,25.27294939534884,22.166936
46000.0,3227,139101,991.2070034087387,1.39040728E8,25.280132363636362,25.589
47000.0,3128,142229,1004.9501278772378,1.42184212E8,25.27719324444444,25.147872
48000.0,3057,145286,996.9286882564605,1.45231823E8,25.257708347826085,24.380888
49000.0,3228,148514,1013.365551425031,1.48502967E8,25.277100765957446,26.169152
50000.0,3316,151830,1010.098009650181,1.51852452E8,25.308742,26.79588
51000.0,3202,155032,997.8441599000624,1.55047549E8,25.31388555102041,25.560776
52000.0,3091,158123,1010.3940472339049,1.58170677E8,25.30730832,24.985024
53000.0,3157,161280,1007.661704149509,1.61351865E8,25.31009647058824,25.449504
54000.0,3341,164621,990.8123316372344,1.64662169E8,25.332641384615386,26.482432
55000.0,3274,167895,995.6606597434331,1.67921962E8,25.346711245283018,26.078344
56000.0,3011,170906,1002.2600464961806,1.70939767E8,25.32440992592593,24.14244
57000.0,3099,174005,995.8631816715069,1.74025947E8,25.31286501818182,24.68944
58000.0,3352,177357,993.7625298329356,1.77357039E8,25.336719857142853,26.648736
59000.0,3274,180631,992.5571166768478,1.80606671E8,25.348304701754387,25.997056
60000.0,3015,183646,975.3555555555556,1.83547368E8,25.316878344827586,23.525576
