time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,796,796,1024.4535175879396,815465.0,6.52372,6.523719999999999
4000.0,1007,1803,1004.6425024826217,1827140.0,7.30856,8.0934
5000.0,813,2616,986.0110701107011,2628767.0,7.010045333333333,6.413016
6000.0,25,2641,1158.48,2657729.0,5.315458,0.231696
7000.0,294,2935,1024.9591836734694,2959067.0,4.7345072,2.410704
8000.0,396,3331,1000.179292929293,3355138.0,4.473517333333333,3.168568
9000.0,196,3527,1015.704081632653,3554216.0,4.061961142857143,1.592624
10000.0,25,3552,946.0,3577866.0,3.577866,0.1892
11000.0,263,3815,974.8174904942965,3834243.0,3.408216,2.0510159999999997
12000.0,421,4236,1025.6128266033254,4266026.0,3.4128208,3.454264
13000.0,129,4365,938.2790697674419,4387064.0,3.190592,0.968304
14000.0,175,4540,1024.6342857142856,4566375.0,3.04425,1.4344879999999998
15000.0,436,4976,973.2637614678899,4990718.0,3.071211076923077,3.394744
16000.0,368,5344,962.0842391304348,5344765.0,3.054151428571428,2.832376
17000.0,149,5493,941.4362416107383,5485039.0,2.9253541333333333,1.122192
18000.0,132,5625,1020.7727272727273,5619781.0,2.8098905,1.077936
19000.0,413,6038,1017.2687651331719,6039913.0,2.842312,3.361056
20000.0,398,6436,1047.8844221105528,6456971.0,2.869764888888889,3.336464
21000.0,16,6452,1016.5,6473235.0,2.7255726315789475,0.130112
22000.0,363,6815,958.8732782369146,6821306.0,2.7285224,2.784568
23000.0,469,7284,993.2985074626865,7287163.0,2.776062095238095,3.726856
24000.0,157,7441,1008.1974522292994,7445450.0,2.7074363636363636,1.266296
25000.0,19,7460,988.0526315789474,7464223.0,2.5962514782608697,0.150184
26000.0,577,8037,988.157712305026,8034390.0,2.67813,4.561336
27000.0,472,8509,1023.0402542372881,8517265.0,2.7255248,3.863
28000.0,331,8840,1010.4138972809668,8851712.0,2.723603692307692,2.675576
29000.0,29,8869,1068.9655172413793,8882712.0,2.6319146666666664,0.248
30000.0,312,9181,1026.8429487179487,9203087.0,2.629453428571429,2.563
31000.0,576,9757,994.453125,9775892.0,2.6967977931034484,4.58244
32000.0,376,10133,1019.0558510638298,1.0159057E7,2.7090818666666667,3.06532
33000.0,157,10290,1064.031847133758,1.032611E7,2.6648025806451616,1.336424
34000.0,499,10789,1027.0140280561122,1.083859E7,2.7096475,4.09984
35000.0,467,11256,1039.4282655246252,1.1324003E7,2.7452128484848486,3.8833039999999994
36000.0,31,11287,1007.6451612903226,1.135524E7,2.6718211764705884,0.249896
37000.0,378,11665,1008.2460317460317,1.1736357E7,2.682595885714286,3.048936
38000.0,384,12049,1010.7239583333334,1.2124475E7,2.6943277777777777,3.104944
39000.0,277,12326,1021.9855595667871,1.2407565E7,2.682716756756757,2.26472
40000.0,533,12859,1044.71669793621,1.2964399E7,2.729347157894737,4.454672
41000.0,307,13166,1007.4527687296417,1.3273687E7,2.7228075897435895,2.474304
42000.0,401,13567,955.7007481296758,1.3656923E7,2.7313846,3.065888
43000.0,151,13718,1030.708609271523,1.381256E7,2.695133658536585,1.2450959999999998
44000.0,167,13885,1087.1916167664672,1.3994121E7,2.665546857142857,1.4524880000000002
45000.0,468,14353,1020.5512820512821,1.4471739E7,2.692416558139535,3.820944
46000.0,18,14371,1234.5,1.449396E7,2.6352654545454546,0.177768
47000.0,1201,15572,1011.0133222314738,1.5708187E7,2.792566577777778,9.713816
48000.0,1375,16947,984.2458181818182,1.7061525E7,2.9672217391304345,10.826704
49000.0,177,17124,1044.4406779661017,1.7246391E7,2.9355559148936172,1.478928
50000.0,645,17769,983.4728682170543,1.7880731E7,2.980121833333333,5.07472
51000.0,531,18300,1017.3239171374764,1.842093E7,3.0074987755102045,4.321592
52000.0,25,18325,1250.44,1.8452191E7,2.95235056,0.250088
53000.0,517,18842,1007.4023210831722,1.8973018E7,2.9761596862745097,4.166616
54000.0,663,19505,989.42383107089,1.9629006E7,3.019847076923077,5.247904
55000.0,571,20076,995.476357267951,2.0197423E7,3.0486676226415095,4.547336
56000.0,20,20096,995.8,2.0217339E7,2.9951613333333333,0.159328
57000.0,213,20309,1020.0046948356808,2.04346E7,2.9723054545454546,1.738088
58000.0,491,20800,1032.613034623218,2.0941613E7,2.991659,4.056104
59000.0,733,21533,1039.1350613915415,2.1703299E7,3.0460770526315795,6.093487999999999
60000.0,136,21669,973.6470588235294,2.1835715E7,3.01182275862069,1.059328
