time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall offer [Mb/s],offer last interval [Mb/s]
2000.0,0,0,NaN,0.0,NaN,NaN
3000.0,3233,3233,1003.2610578410146,3243543.0,25.948344,25.948344
4000.0,3244,6477,990.3366214549939,6456195.0,25.82478,25.701216
5000.0,3187,9664,990.2397238782554,9612089.0,25.632237333333336,25.247152
6000.0,3100,12764,996.5816129032258,1.2701492E7,25.402984,24.715224
7000.0,2910,15674,1001.441237113402,1.5615686E7,24.985097600000003,23.313552
8000.0,2889,18563,1010.9207338179301,1.8536236E7,24.71498133333333,23.3644
9000.0,3005,21568,1016.5517470881864,2.1590974E7,24.675398857142856,24.437904
10000.0,3081,24649,992.157740993184,2.4647812E7,24.647812,24.454704
11000.0,2939,27588,1002.583531813542,2.7594405E7,24.52836,23.572744
12000.0,2926,30514,999.3800410116199,3.0518591E7,24.4148728,23.393488
13000.0,2955,33469,996.444331641286,3.3463084E7,24.336788363636362,23.555944
14000.0,3008,36477,981.8211436170212,3.6416402E7,24.277601333333333,23.626544
15000.0,2929,39406,994.6725844998293,3.9329798E7,24.202952615384618,23.307168
16000.0,2926,42332,981.7214627477786,4.2202315E7,24.115608571428574,22.980136
17000.0,2975,45307,1006.8147899159663,4.5197589E7,24.105380800000002,23.962192
18000.0,3038,48345,1008.5391705069125,4.8261531E7,24.1307655,24.511536
19000.0,2945,51290,1000.1629881154499,5.1207011E7,24.09741694117647,23.56384
20000.0,2914,54204,981.4794097460535,5.4067042E7,24.029796444444443,22.880248
21000.0,3032,57236,1004.7011873350923,5.7113296E7,24.047703578947367,24.370032
22000.0,3002,60238,1000.7058627581612,6.0117415E7,24.046966,24.032952
23000.0,2934,63172,990.0013633265168,6.3022079E7,24.00841104761905,23.237312
24000.0,2979,66151,998.8999664316885,6.5997802E7,23.999200727272726,23.805784
25000.0,2985,69136,1019.5219430485762,6.9041075E7,24.01428695652174,24.346184
26000.0,3040,72176,986.4667763157895,7.2039934E7,24.013311333333334,23.990872
27000.0,2949,75125,1011.5140725669719,7.5022889E7,24.00732448,23.86364
28000.0,3071,78196,1011.0534028003907,7.8127834E7,24.03933353846154,24.83956
29000.0,3216,81412,1000.4057835820895,8.1345139E7,24.102263407407406,25.73844
30000.0,3074,84486,1006.3061158100195,8.4438524E7,24.12529257142857,24.74708
31000.0,2977,87463,1005.1501511588848,8.7430856E7,24.118856827586203,23.938656
32000.0,3229,90692,995.2109012078042,9.0644392E7,24.171837866666664,25.708288
33000.0,3053,93745,1002.0651817884049,9.3703697E7,24.18159922580645,24.47444
34000.0,2986,96731,1008.5465505693235,9.6715217E7,24.17880425,24.09216
35000.0,3029,99760,1006.4450313634864,9.9763739E7,24.185148848484847,24.388176
36000.0,3199,102959,998.9431072210066,1.02959358E8,24.225731294117644,25.564952
37000.0,2912,105871,1010.9828296703297,1.0590334E8,24.20647771428571,23.551856
38000.0,2920,108791,994.4188356164384,1.08807043E8,24.17934288888889,23.229624
39000.0,2934,111725,993.8353783231083,1.11722956E8,24.156314810810812,23.327304
40000.0,2942,114667,1011.8463630183549,1.14699808E8,24.147328,23.814816
41000.0,3010,117677,991.2724252491695,1.17683538E8,24.140212923076923,23.86984
42000.0,2926,120603,1004.825017088175,1.20623656E8,24.1247312,23.520944
43000.0,2966,123569,999.568105192178,1.23588375E8,24.11480487804878,23.717752
44000.0,3005,126574,999.0089850249584,1.26590397E8,24.11245657142857,24.016176
45000.0,2937,129511,1011.1664964249234,1.29560193E8,24.104221953488373,23.758368
46000.0,3036,132547,1001.6063899868248,1.3260107E8,24.109285454545454,24.327016
47000.0,3333,135880,999.8754875487549,1.35933655E8,24.16598311111111,26.66068
48000.0,3260,139140,986.9490797546013,1.39151109E8,24.200192869565218,25.739632
49000.0,3121,142261,1025.5027234860622,1.42351703E8,24.23007710638298,25.604752
50000.0,3261,145522,994.6605335786569,1.45595291E8,24.26588183333333,25.948704
51000.0,3196,148718,1003.3845431789737,1.48802108E8,24.294221714285715,25.654536
52000.0,3556,152274,1004.8726096737907,1.52375435E8,24.3800696,28.586616
53000.0,3202,155476,988.1292941911305,1.55539425E8,24.398341176470588,25.31192
54000.0,3118,158594,1000.3553559974342,1.58658533E8,24.409005076923076,24.952864
55000.0,3302,161896,1001.8216232586311,1.61966548E8,24.44778083018868,26.46412
56000.0,3556,165452,1006.0205286839146,1.65543957E8,24.525030666666662,28.619272
57000.0,3104,168556,995.4468427835052,1.68633824E8,24.528556218181816,24.718936
58000.0,3020,171576,1004.1380794701987,1.71666321E8,24.523760142857142,24.259976
59000.0,3137,174713,1013.4762511954096,1.74845596E8,24.539732771929824,25.4342
60000.0,3089,177802,1002.1440595662026,1.77941219E8,24.543616413793107,24.764984
